banrate,date
0.1088,2019-09-20
0.0724,2019-09-20
0.2248,2019-09-20
0.0122,2019-09-20
0.0156,2019-09-20
0.0132,2019-09-20
0.0154,2019-09-20
0.0119,2019-09-20
0.0039,2019-09-20
0.0059,2019-09-20
0.0052,2019-09-20
0.1343,2019-09-20
0.0998,2019-09-20
0.0097,2019-09-20
0.1891,2019-09-20
0.0109,2019-09-20
0.0084,2019-09-20
0.0109,2019-09-20
0.003,2019-09-20
0.3602,2019-09-20
0.0336,2019-09-20
0.1311,2019-09-20
0.2455,2019-09-20
0.0733,2019-09-20
0.0286,2019-09-20
0.2243,2019-09-20
0.0597,2019-09-20
0.0137,2019-09-20
0.0744,2019-09-20
0.1602,2019-09-20
0.0041,2019-09-20
0.0146,2019-09-20
0.0475,2019-09-20
0.0064,2019-09-20
0.0056,2019-09-20
0.005,2019-09-20
0.0746,2019-09-20
0.0069,2019-09-20
0.1144,2019-09-20
0.0475,2019-09-20
0.0028,2019-09-20
0.0083,2019-09-20
0.0291,2019-09-20
0.2568,2019-09-20
0.0071,2019-09-20
0.0370,2019-09-20
0.0744,2019-09-20
0.114,2019-09-20
0.0012,2019-09-20
0.0092,2019-09-20
0.032,2019-09-20
0.0597,2019-09-20
0.0614,2019-09-20
0.0155,2019-09-20
0.0987,2019-09-20
0.0233,2019-09-20
0.1472,2019-09-20
0.0119,2019-09-20
0.0797,2019-09-20
0.0012,2019-09-20
0.0574,2019-09-20
0.0655,2019-09-20
0.0783,2019-09-20
0.0043,2019-09-20
0.0205,2019-09-20
0.0104,2019-09-20
0.0714,2019-09-20
0.1514,2019-09-20
0.0926,2019-09-20
0.0014,2019-09-20
0.254,2019-09-20
0.0119,2019-09-20
0.1687,2019-09-20
0.4357,2019-09-20
0.0087,2019-09-20
0.0921,2019-09-20
0.1854,2019-09-20
0.0186,2019-09-20
0.0048,2019-09-20
0.0276,2019-09-20
0.0623,2019-09-20
0.0199,2019-09-20
0.0039,2019-09-20
0.0019,2019-09-20
0.2281,2019-09-20
0.0078,2019-09-20
0.4801,2019-09-20
0.1116,2019-09-20
0.0075,2019-09-20
0.0192,2019-09-20
0.0643,2019-09-20
0.0104,2019-09-20
0.1217,2019-09-20
0.0872,2019-09-20
0.0629,2019-09-20
0.0047,2019-09-20
0.0084,2019-09-20
0.0105,2019-09-20
0.0220,2019-09-20
0.0047,2019-09-20
0.0063,2019-09-20
0.0055,2019-09-20
0.0023,2019-09-20
0.0263,2019-09-20
0.0018,2019-09-20
0.0056,2019-09-20
0.0199,2019-09-20
0.0219,2019-09-20
0.1515,2019-09-20
0.0126,2019-09-20
0.0123,2019-09-20
0.0014,2019-09-20
0.0686,2019-09-20
0.0041,2019-09-20
0.0965,2019-09-20
0.0971,2019-09-20
0.0195,2019-09-20
0.0021,2019-09-20
0.1021,2019-09-20
0.0017,2019-09-20
0.0171,2019-09-20
0.0357,2019-09-20
0.0269,2019-09-20
0.0019,2019-09-20
0.0722,2019-09-20
0.0326,2019-09-20
0.0149,2019-09-20
0.0286,2019-09-20
0.0019,2019-09-20
0.1727,2019-09-20
0.0224,2019-09-20
0.0189,2019-09-20
0.003,2019-09-20
0.0508,2019-09-20
0.0196,2019-09-20
0.0105,2019-09-20
0.4654,2019-09-20
0.0174,2019-09-20
0.253,2019-09-20
0.0067,2019-09-20
0.3257,2019-09-20
0.0018,2019-09-20
0.0124,2019-09-20
0.0481,2019-09-20
0.0513,2019-09-20
