pickrate,date
0.0348,2019-09-19
0.1122,2019-09-19
0.0839,2019-09-19
0.0357,2019-09-19
0.0521,2019-09-19
0.0299,2019-09-19
0.0379,2019-09-19
0.1076,2019-09-19
0.0115,2019-09-19
0.0183,2019-09-19
0.0429,2019-09-19
0.0734,2019-09-19
0.0791,2019-09-19
0.0317,2019-09-19
0.2507,2019-09-19
0.0397,2019-09-19
0.0276,2019-09-19
0.0484,2019-09-19
0.0148,2019-09-19
0.1211,2019-09-19
0.0497,2019-09-19
0.1024,2019-09-19
0.0854,2019-09-19
0.1333,2019-09-19
0.0465,2019-09-19
0.0683,2019-09-19
0.179,2019-09-19
0.0331,2019-09-19
0.0805,2019-09-19
0.0774,2019-09-19
0.0389,2019-09-19
0.0540,2019-09-19
0.092,2019-09-19
0.0313,2019-09-19
0.0491,2019-09-19
0.039,2019-09-19
0.0611,2019-09-19
0.0201,2019-09-19
0.0464,2019-09-19
0.0696,2019-09-19
0.0089,2019-09-19
0.0742,2019-09-19
0.0898,2019-09-19
0.14,2019-09-19
0.0233,2019-09-19
0.1854,2019-09-19
0.1973,2019-09-19
0.2383,2019-09-19
0.0107,2019-09-19
0.0636,2019-09-19
0.0337,2019-09-19
0.0573,2019-09-19
0.0718,2019-09-19
0.0581,2019-09-19
0.102,2019-09-19
0.0387,2019-09-19
0.1356,2019-09-19
0.0337,2019-09-19
0.0472,2019-09-19
0.0182,2019-09-19
0.0519,2019-09-19
0.1347,2019-09-19
0.1193,2019-09-19
0.0178,2019-09-19
0.1345,2019-09-19
0.0586,2019-09-19
0.1912,2019-09-19
0.1398,2019-09-19
0.0595,2019-09-19
0.0156,2019-09-19
0.0932,2019-09-19
0.0883,2019-09-19
0.1025,2019-09-19
0.1388,2019-09-19
0.1058,2019-09-19
0.0820,2019-09-19
0.13,2019-09-19
0.0676,2019-09-19
0.0327,2019-09-19
0.0635,2019-09-19
0.0564,2019-09-19
0.0432,2019-09-19
0.0396,2019-09-19
0.0226,2019-09-19
0.1569,2019-09-19
0.0324,2019-09-19
0.1183,2019-09-19
0.0560,2019-09-19
0.0246,2019-09-19
0.1045,2019-09-19
0.0303,2019-09-19
0.0234,2019-09-19
0.0915,2019-09-19
0.0721,2019-09-19
0.0880,2019-09-19
0.0289,2019-09-19
0.0526,2019-09-19
0.0306,2019-09-19
0.0381,2019-09-19
0.0634,2019-09-19
0.0298,2019-09-19
0.0294,2019-09-19
0.0278,2019-09-19
0.0508,2019-09-19
0.01,2019-09-19
0.0515,2019-09-19
0.0709,2019-09-19
0.07,2019-09-19
0.1146,2019-09-19
0.0477,2019-09-19
0.0156,2019-09-19
0.0162,2019-09-19
0.0653,2019-09-19
0.0203,2019-09-19
0.0966,2019-09-19
0.177,2019-09-19
0.1026,2019-09-19
0.0176,2019-09-19
0.0784,2019-09-19
0.0387,2019-09-19
0.0635,2019-09-19
0.0384,2019-09-19
0.0431,2019-09-19
0.0399,2019-09-19
0.1324,2019-09-19
0.0784,2019-09-19
0.0658,2019-09-19
0.0675,2019-09-19
0.0173,2019-09-19
0.0871,2019-09-19
0.0574,2019-09-19
0.0626,2019-09-19
0.0269,2019-09-19
0.1463,2019-09-19
0.0671,2019-09-19
0.0417,2019-09-19
0.183,2019-09-19
0.0282,2019-09-19
0.0783,2019-09-19
0.0293,2019-09-19
0.0996,2019-09-19
0.0220,2019-09-19
0.0355,2019-09-19
0.0565,2019-09-19
0.0634,2019-09-19
