winrate,date
0.4321,2019-09-15
0.5204,2019-09-15
0.4402,2019-09-15
0.4799,2019-09-15
0.505,2019-09-15
0.5025,2019-09-15
0.4884,2019-09-15
0.5127,2019-09-15
0.496,2019-09-15
0.439,2019-09-15
0.5066,2019-09-15
0.5131,2019-09-15
0.5232,2019-09-15
0.4526,2019-09-15
0.5084,2019-09-15
0.4870,2019-09-15
0.4938,2019-09-15
0.4828,2019-09-15
0.5055,2019-09-15
0.5113,2019-09-15
0.5201,2019-09-15
0.5247,2019-09-15
0.5132,2019-09-15
0.5202,2019-09-15
0.4917,2019-09-15
0.4759,2019-09-15
0.4601,2019-09-15
0.4863,2019-09-15
0.4897,2019-09-15
0.527,2019-09-15
0.5104,2019-09-15
0.4945,2019-09-15
0.5216,2019-09-15
0.484,2019-09-15
0.4809,2019-09-15
0.5002,2019-09-15
0.5236,2019-09-15
0.4969,2019-09-15
0.5286,2019-09-15
0.4516,2019-09-15
0.4749,2019-09-15
0.5181,2019-09-15
0.5074,2019-09-15
0.5128,2019-09-15
0.4546,2019-09-15
0.5145,2019-09-15
0.5238,2019-09-15
0.4802,2019-09-15
0.4758,2019-09-15
0.4904,2019-09-15
0.4962,2019-09-15
0.5036,2019-09-15
0.5085,2019-09-15
0.5143,2019-09-15
0.498,2019-09-15
0.527,2019-09-15
0.5102,2019-09-15
0.4778,2019-09-15
0.5155,2019-09-15
0.5175,2019-09-15
0.4915,2019-09-15
0.4812,2019-09-15
0.5174,2019-09-15
0.4889,2019-09-15
0.4823,2019-09-15
0.4963,2019-09-15
0.5089,2019-09-15
0.5096,2019-09-15
0.531,2019-09-15
0.5044,2019-09-15
0.5136,2019-09-15
0.5146,2019-09-15
0.5099,2019-09-15
0.4969,2019-09-15
0.5226,2019-09-15
0.5105,2019-09-15
0.5295,2019-09-15
0.4979,2019-09-15
0.4748,2019-09-15
0.5124,2019-09-15
0.5196,2019-09-15
0.5079,2019-09-15
0.4785,2019-09-15
0.4941,2019-09-15
0.4892,2019-09-15
0.4906,2019-09-15
0.5028,2019-09-15
0.4493,2019-09-15
0.5212,2019-09-15
0.4969,2019-09-15
0.4928,2019-09-15
0.4806,2019-09-15
0.4882,2019-09-15
0.5023,2019-09-15
0.4665,2019-09-15
0.4916,2019-09-15
0.4678,2019-09-15
0.4706,2019-09-15
0.4984,2019-09-15
0.4982,2019-09-15
0.501,2019-09-15
0.525,2019-09-15
0.5055,2019-09-15
0.5026,2019-09-15
0.5255,2019-09-15
0.5196,2019-09-15
0.5268,2019-09-15
0.5191,2019-09-15
0.4582,2019-09-15
0.4853,2019-09-15
0.469,2019-09-15
0.5045,2019-09-15
0.5025,2019-09-15
0.5043,2019-09-15
0.5165,2019-09-15
0.4989,2019-09-15
0.4993,2019-09-15
0.4808,2019-09-15
0.5123,2019-09-15
0.4920,2019-09-15
0.5094,2019-09-15
0.5145,2019-09-15
0.5214,2019-09-15
0.4784,2019-09-15
0.5,2019-09-15
0.4968,2019-09-15
0.5202,2019-09-15
0.5309,2019-09-15
0.4821,2019-09-15
0.494,2019-09-15
0.5404,2019-09-15
0.508,2019-09-15
0.5142,2019-09-15
0.4959,2019-09-15
0.5072,2019-09-15
0.4988,2019-09-15
0.5137,2019-09-15
0.5294,2019-09-15
0.4468,2019-09-15
0.5023,2019-09-15
0.4958,2019-09-15
0.5022,2019-09-15
0.5116,2019-09-15
0.4811,2019-09-15
0.5206,2019-09-15
